Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
MARINELA Pingüinos - Cup Cakes 2.82 oz,https://www.sayweee.com/en/product/MARINELA-Ping--inos---Cup-Cakes/91529,$1.99,50+ Sold,$0.70/oz,MARINELA Pingüinos - Cup Cakes,(2),Mexico,BIMBO
Orange Custard Cream Éclair 2.01 oz,https://www.sayweee.com/en/product/Orange-Custard-Cream-clair/65710,$1.99,,$0.99/oz,Orange Custard Cream Éclair,(24),Japan,Orange
"BIMBO Pound Cake with Pecans, Sliced 9 oz",https://www.sayweee.com/en/product/BIMBO-Pound-Cake-with-Pecans--Sliced/91428,$2.89,50+ Sold,$0.32/oz,"BIMBO Pound Cake with Pecans, Sliced",(2),Mexico,BIMBO
BIMBO Mini Mantecadas Muffins 4ct 4.41 oz,https://www.sayweee.com/en/product/BIMBO-Mini-Mantecadas-Muffins-4ct/91489,$1.99,50+ Sold,$0.45/oz,BIMBO Mini Mantecadas Muffins 4ct,(2),Mexico,BIMBO
Coco Rice Rolls Durian Flavor 3.53oz 3.53 oz,https://www.sayweee.com/en/product/Coco-Rice-Rolls-Durian-Flavor-353oz/15377,$3.69,,$1.04/oz,Coco Rice Rolls Durian Flavor 3.53oz,(7),Thailand,
Chikodo Half Baked Lava Cheese Cake  180 g,https://www.sayweee.com/en/product/Chikodo-Half-Baked-Lava-Cheese-Cake-/51453,$7.89,50+ Sold,$0.04/g,Chikodo Half Baked Lava Cheese Cake,(6),Mainland China,
Regent Mochi Buko Pandan Flavor 24 g,https://www.sayweee.com/en/product/Regent-Mochi-Buko-Pandan-Flavor/86245,$3.59,,$0.14/g,Regent Mochi Buko Pandan Flavor,,Philippines,
Regent Mochi Wintermelon Milk Tea Flavor 24 g,https://www.sayweee.com/en/product/Regent-Mochi-Wintermelon-Milk-Tea-Flavor/86246,$3.59,,$0.14/g,Regent Mochi Wintermelon Milk Tea Flavor,,Philippines,
Samlip Castella Sweet Rice Cake Mochi 6pc 7.93 oz,https://www.sayweee.com/en/product/Samlip-Castella-Sweet-Rice-Cake-Mochi-6pc/35058,$4.99,,$0.62/oz,Samlip Castella Sweet Rice Cake Mochi 6pc,(5),South Korea,
Saongwon Korean Sweet Dessert Pancake (Hotteok) Original Flavor 14.1 oz,https://www.sayweee.com/en/product/Saongwon-Korean-Sweet-Dessert-Pancake--Hotteok--Original-Flavor/40953,$4.99,,$0.35/oz,Saongwon Korean Sweet Dessert Pancake (Hotteok) Original Flavor,(1),South Korea,
Samlip Castella Cream Cake 3.35 oz,https://www.sayweee.com/en/product/Samlip-Castella-Cream-Cake/84773,$2.49,50+ Sold,$0.74/oz,Samlip Castella Cream Cake,(3),South Korea,
Banh Pia Mung Bean and Durian with Salted Egg Yolk 14 oz,https://www.sayweee.com/en/product/Banh-Pia-Mung-Bean-and-Durian-with-Salted-Egg-Yolk/84152,$6.99,100+ Sold,$0.49/oz,Banh Pia Mung Bean and Durian with Salted Egg Yolk,(16),Vietnam,
"AROY-D Durian with Sticky Rice in Coconut Milk, Frozen  180 g",https://www.sayweee.com/en/product/AROY-D-Durian-with-Sticky-Rice-in-Coconut-Milk--Frozen-/84161,$4.99,50+ Sold,,"AROY-D Durian with Sticky Rice in Coconut Milk, Frozen",(2),Thailand,AROYD
"AROY-D Mixed Thai Fruit Dessert in Coconut Milk, Frozen  180 g",https://www.sayweee.com/en/product/AROY-D-Mixed-Thai-Fruit-Dessert-in-Coconut-Milk--Frozen-/84162,$3.59,,,"AROY-D Mixed Thai Fruit Dessert in Coconut Milk, Frozen",,Thailand,AROYD
Native Pineapple Cakes  300 g,https://www.sayweee.com/en/product/Native-Pineapple-Cakes-/94576,$4.49,50+ Sold,,Native Pineapple Cakes,(12),Taiwan,
Flour Cake Jasmine Flavor 210g 216 g,https://www.sayweee.com/en/product/Flour-Cake-Jasmine-Flavor-210g/17056,$3.69,100+ Sold,,Flour Cake Jasmine Flavor 210g,(6),Mainland China,
Royal Macaron Rusk  2.11 oz,https://www.sayweee.com/en/product/Royal-Macaron-Rusk-/25966,$3.99,50+ Sold,$1.89/oz,Royal Macaron Rusk,(4),Hong Kong,Royal
Brown Sugar Rice Cake 480 g,https://www.sayweee.com/en/product/Brown-Sugar-Rice-Cake/50573,$3.49,"50+ Sold,2 Left",,Brown Sugar Rice Cake,(8),Taiwan,
Sunny Hills Pineapple Cakes 800 g,https://www.sayweee.com/en/product/Sunny-Hills-Pineapple-Cakes/62524,$59.99,100+ Sold,$0.07/g,Sunny Hills Pineapple Cakes,(7),Taiwan,
Samlip Black Sugar Oboro Bread 3.52 oz,https://www.sayweee.com/en/product/Samlip-Black-Sugar-Oboro-Bread/84727,$1.99,100+ Sold,$0.56/oz,Samlip Black Sugar Oboro Bread,(2),South Korea,
Salty egg yolk crisp egg roll  218 g,https://www.sayweee.com/en/product/Salty-egg-yolk-crisp-egg-roll-/8526,$3.99,50+ Sold,,Salty egg yolk crisp egg roll,(6),Mainland China,
"Marukyo Assorted Baked Bean Cakes, 5 Flavors 18pc 250 g",https://www.sayweee.com/en/product/Marukyo-Assorted-Baked-Bean-Cakes--5-Flavors-18pc/18932,$5.49,50+ Sold,,"Marukyo Assorted Baked Bean Cakes, 5 Flavors 18pc",(13),Japan,Marukyo
Kam Wah Egg Yolk Pies 8pcs 19.7 oz,https://www.sayweee.com/en/product/Kam-Wah-Egg-Yolk-Pies-8pcs/25903,$28.99,,$1.47/oz,Kam Wah Egg Yolk Pies 8pcs,(1),Malaysia,
IJEAN Egg Yolk Puff with Mochi and Lotus Paste 8.47 oz,https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi-and-Lotus-Paste/35560,$8.99,100+ Sold,$1.06/oz,IJEAN Egg Yolk Puff with Mochi and Lotus Paste,(4),United States,
Mitsuru Portuguese Tart Pastry 18ct 418 g,https://www.sayweee.com/en/product/Mitsuru-Portuguese-Tart-Pastry-18ct/31675,$8.99,50+ Sold,,Mitsuru Portuguese Tart Pastry 18ct,(3),Mainland China,
Senjuan Meidia Mushi Kintsuba 8pc 7.32 oz,https://www.sayweee.com/en/product/Senjuan-Meidia-Mushi-Kintsuba-8pc/42816,$14.99,,$2.04/oz,Senjuan Meidia Mushi Kintsuba 8pc,(10),Japan,
Chen Yun Pao Chuan Traditional Egg Yolk Pastry 8pc 1 box,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Traditional-Egg-Yolk-Pastry-8pc/54176,$28.99,,$28.99/box,Chen Yun Pao Chuan Traditional Egg Yolk Pastry 8pc,(22),Taiwan,
Regent Japanese Chokoreto Cake 34 g,https://www.sayweee.com/en/product/Regent-Japanese-Chokoreto-Cake/84867,$5.49,,$0.16/g,Regent Japanese Chokoreto Cake,,Philippines,
MARINELA Principe Sandwich Cookies with Chocolate Filling  2.96 oz,https://www.sayweee.com/en/product/MARINELA-Principe-Sandwich-Cookies-with-Chocolate-Filling-/91532,$1.99,50+ Sold,$0.67/oz,MARINELA Principe Sandwich Cookies with Chocolate Filling,,Mexico,BIMBO
"AROY-D Taro Ball in Coconut Milk, Frozen  180 g",https://www.sayweee.com/en/product/AROY-D-Taro-Ball-in-Coconut-Milk--Frozen-/84167,$4.49,50+ Sold,,"AROY-D Taro Ball in Coconut Milk, Frozen",,Thailand,AROYD
Jiu Zhen Nan Chinese Date and Walnut Nougat 220 g,https://www.sayweee.com/en/product/Jiu-Zhen-Nan-Chinese-Date-and-Walnut-Nougat/3558,$22.89,,$0.10/g,Jiu Zhen Nan Chinese Date and Walnut Nougat,(19),Taiwan,Jiu Zhen Nan
Mc Cormick Ube Flavor  20 ml,https://www.sayweee.com/en/product/Mc-Cormick-Ube-Flavor-/8827,$3.29,50+ Sold,$0.16/ml,Mc Cormick Ube Flavor,(2),Philippines,
Bamboo House Alishan Green Tea Cake  250 g,https://www.sayweee.com/en/product/Bamboo-House-Alishan-Green-Tea-Cake-/16280,$4.69,,,Bamboo House Alishan Green Tea Cake,(5),Taiwan,BAMBOO HOUSE
Tresbon Pineapple Mini Pie 280 g,https://www.sayweee.com/en/product/Tresbon-Pineapple-Mini-Pie/22766,$4.99,,,Tresbon Pineapple Mini Pie,(2),Indonesia,Tresbon
