Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Reviews,Orgin,Brand
Lay's Wavy Chips Spicy Flavor 70 g,https://www.sayweee.com/en/product/Lay-s-Wavy-Chips-Spicy-Flavor/14791,$2.29 ,400+ Sold,$0.03/g,Lay's Wavy Chips Spicy Flavor,-3,Mainland China,Lay's
"Unified Raccoon Crispy Noodles, Italian Red Braised Flavor 40 g",https://www.sayweee.com/en/product/Unified-Raccoon-Crispy-Noodles--Italian-Red-Braised-Flavor/95080,$1.19 ,1K+ Sold,,"Unified Raccoon Crispy Noodles, Italian Red Braised Flavor",-8,Mainland China,
"Lay's Potato Chips,Tomato Chicken Flavor  70 g",https://www.sayweee.com/en/product/Lay-s-Potato-Chips-Tomato-Chicken-Flavor-/51262,$2.49 ,600+ Sold,$0.03/g,"Lay's Potato Chips,Tomato Chicken Flavor",-38,Mainland China,Lay's
"Little Raccoon Crispy Noodles, Roasted Wings Flavor  40 g",https://www.sayweee.com/en/product/Little-Raccoon-Crispy-Noodles--Roasted-Wings-Flavor-/34231,$1.19 ,1K+ Sold,,"Little Raccoon Crispy Noodles, Roasted Wings Flavor",-44,Mainland China,Little Raccoon
Mr. Kimchi Tofu Kimchi Snack  60 g,https://www.sayweee.com/en/product/Mr--Kimchi-Tofu-Kimchi-Snack-/35034,$1.99 ,300+ Sold,$0.03/g,Mr. Kimchi Tofu Kimchi Snack,-26,South Korea,
"Little Raccoon Crispy Noodle, Spicy Crab Flavor 40 g",https://www.sayweee.com/en/product/Little-Raccoon-Crispy-Noodle-Spicy-Crab-Flavor/34232,$1.09 ,1K+ Sold,,"Little Raccoon Crispy Noodle, Spicy Crab Flavor",-58,Mainland China,Little Raccoon
"Crown Corn Chips, Roasted Corn Flavor  148 g",https://www.sayweee.com/en/product/Crown-Corn-Chips--Roasted-Corn-Flavor-/1131,$3.79 ,200+ Sold,,"Crown Corn Chips, Roasted Corn Flavor",-14,South Korea,Crown
"Lay’s Yam Chips, Tomato Flavor 80 g",https://www.sayweee.com/en/product/Lay---s-Yam-Chips--Tomato-Flavor/3347,$2.49 ,"500+ Sold,5 Left",$0.03/g,"Lay’s Yam Chips, Tomato Flavor",-112,Mainland China,Lay's
Oishi Shrimp Flakes 80 g,https://www.sayweee.com/en/product/Oishi-Shrimp-Flakes/94620,$2.29 ,1K+ Sold,,Oishi Shrimp Flakes,-26,Mainland China,Oishi
"Very Enjoyable Brand Hong Kong-Style Fish Ball Snacks, Curry Flavor 90 g",https://www.sayweee.com/en/product/Very-Enjoyable-Brand-Hong-Kong-Style-Fish-Ball-Snacks--Curry-Flavor/37699,$3.49 ,300+ Sold,$0.03/g,"Very Enjoyable Brand Hong Kong-Style Fish Ball Snacks, Curry Flavor",-14,Mainland China,
LAY'S Potato Chips Pickle Fish Flavor  70 g,https://www.sayweee.com/en/product/LAY-S-Potato-Chips-Pickle-Fish-Flavor-/14328,$2.49 ,300+ Sold,$0.03/g,LAY'S Potato Chips Pickle Fish Flavor,-12,Mainland China,Lay's
"Lay's Deep Ridged Potato Chips, Spicy Chicken Flavor 1.4 oz",https://www.sayweee.com/en/product/Lays-Deep-Ridged-Potato-Chips-Spicy-Chicken-Flavor/73812,$1.99 ,200+ Sold,$1.42/oz,"Lay's Deep Ridged Potato Chips, Spicy Chicken Flavor",-13,Taiwan,Lay's
Lay's Potato Chips Italian Red Meat Flavor  70 g,https://www.sayweee.com/en/product/Lay-s-Potato-Chips-Italian-Red-Meat-Flavor-/31289,$2.49 ,1K+ Sold,$0.03/g,Lay's Potato Chips Italian Red Meat Flavor,-34,Mainland China,Lay's
Irvins Salted Egg Potato Chips 105 g,https://www.sayweee.com/en/product/Irvins-Salted-Egg-Potato-Chips/35367,$10.99 ,500+ Sold,$0.10/g,Irvins Salted Egg Potato Chips,-46,Singapore,IRVINS
Big Eye Original Salted Egg Yolk Shrimp Chips 70 g,https://www.sayweee.com/en/product/Big-Eye-Original-Salted-Egg-Yolk-Shrimp-Chips/9143,$5.19 ,100+ Sold,$0.07/g,Big Eye Original Salted Egg Yolk Shrimp Chips,-84,Taiwan,
"Orion Turtle Chip Churros, Choco Flavor 5.64 oz",https://www.sayweee.com/en/product/Orion-Turtle-Chip-Churros--Choco-Flavor/1129,$4.99 ,200+ Sold,$0.88/oz,"Orion Turtle Chip Churros, Choco Flavor",-16,South Korea,
"Irvins Salted Egg Potato Chips, Spicy 105 g",https://www.sayweee.com/en/product/Irvins-Salted-Egg-Potato-Chips--Spicy/35368,$10.99 ,300+ Sold,$0.10/g,"Irvins Salted Egg Potato Chips, Spicy",-25,Singapore,IRVINS
"Calbee My Pote Potato Chips, Garlic Herb Butter Flavor 60 g",https://www.sayweee.com/en/product/Calbee-My-Pote-Potato-Chips--Garlic-Herb-Butter-Flavor/82695,$1.49 ,300+ Sold,,"Calbee My Pote Potato Chips, Garlic Herb Butter Flavor",-2,United States,Calbee
Calbee Jagabee Chips Lightly Salted 4 oz,https://www.sayweee.com/en/product/Calbee-Jagabee-Chips-Lightly-Salted/34581,$3.49 ,"200+ Sold,15 Left",$0.87/oz,Calbee Jagabee Chips Lightly Salted,-33,Japan,Calbee
Calbee Hot & Spicy Potato Chips 80 g,https://www.sayweee.com/en/product/Calbee-Hot--Spicy-Potato-Chips/28663,$1.99 ,100+ Sold,,Calbee Hot & Spicy Potato Chips,-42,Japan,Calbee
Calbee Seaweed and Salt Potato Chips 7 oz,https://www.sayweee.com/en/product/Calbee-Seaweed-and-Salt-Potato-Chips/45255,$4.49 ,200+ Sold,$0.64/oz,Calbee Seaweed and Salt Potato Chips,-32,Mainland China,Calbee
NONGSHIM Gochujang Flavor Shrimp Crackers 75 g,https://www.sayweee.com/en/product/NONGSHIM-Gochujang-Flavor-Shrimp-Crackers/28771,$1.69 ,100+ Sold,,NONGSHIM Gochujang Flavor Shrimp Crackers,-7,South Korea,Nongshim
"Baby Star Wide Ramen Snack, Chicken Flavor Big Pack 185 g",https://www.sayweee.com/en/product/Baby-Star-Wide-Ramen-Snack--Chicken-Flavor-Big-Pack/18977,$3.99 ,300+ Sold,,"Baby Star Wide Ramen Snack, Chicken Flavor Big Pack",-14,Taiwan,
Aishang Mimi Shrimp Flavored Chips 180 g,https://www.sayweee.com/en/product/Aishang-Mimi-Shrimp-Flavored-Chips/95075,$2.29 ,300+ Sold,,Aishang Mimi Shrimp Flavored Chips,-181,Mainland China,AISHANG
"Hongtu Crispy Yam Chips, Tomato Flavor  90 g",https://www.sayweee.com/en/product/Hongtu-Crispy-Yam-Chips--Tomato-Flavor-/58293,$2.49 ,300+ Sold,,"Hongtu Crispy Yam Chips, Tomato Flavor",-14,Mainland China,
"Crusty's Salmon Fish Skin Chips, Truffle Flavor 100 g",https://www.sayweee.com/en/product/Crustys-Salmon-Fish-Skin-Chips-Truffle-Flavor/69388,$7.59 ,,$0.07/g,"Crusty's Salmon Fish Skin Chips, Truffle Flavor",-15,Singapore,Crusty's
"Kettle Brand Potato Chips, Jalapeno Flavor 8.5 oz",https://www.sayweee.com/en/product/Kettle-Brand-Potato-Chips--Jalapeno-Flavor/47732,$4.49 ,50+ Sold,$0.52/oz,"Kettle Brand Potato Chips, Jalapeno Flavor",-6,United States,
"Calbee Jagabee Fry Cut Potato Crisps, Ketchup Flavor 3pk 3.18 oz",https://www.sayweee.com/en/product/Calbee-Jagabee-Fry-Cut-Potato-Crisps--Ketchup-Flavor-3pk/30224,$3.79 ,200+ Sold,$1.19/oz,"Calbee Jagabee Fry Cut Potato Crisps, Ketchup Flavor 3pk",-11,South Korea,Calbee
"Shibuya Sweet Potato Sticks, Original 5.11 oz",https://www.sayweee.com/en/product/Shibuya-Sweet-Potato-Sticks--Original/59495,$4.49 ,100+ Sold,$0.87/oz,"Shibuya Sweet Potato Sticks, Original",-8,Japan,
Steak Flavor Rice Crisps 210 g,https://www.sayweee.com/en/product/Steak-Flavor-Rice-Crisps/65747,$3.49 ,1K+ Sold,,Steak Flavor Rice Crisps,-72,Mainland China,
Oishi Tomato Flavor Potato Chips 80 g,https://www.sayweee.com/en/product/Oishi-Tomato-Flavor-Potato-Chips/28224,$2.99 ,200+ Sold,$0.03/g,Oishi Tomato Flavor Potato Chips,-2,Mainland China,Oishi
Spicy Millet Crisp 50 g,https://www.sayweee.com/en/product/Spicy-Millet-Crisp/74904,$0.99 ,700+ Sold,,Spicy Millet Crisp,-35,Mainland China,
Orion Turtle Chip Injeolmi Large 160 g,https://www.sayweee.com/en/product/Orion-Turtle-Chip-Injeolmi-Large/27265,$4.99 ,50+ Sold,$0.03/g,Orion Turtle Chip Injeolmi Large,-6,South Korea,
"Harvest Snaps Green Pea Snack Crisps, Original 3.3 oz",https://www.sayweee.com/en/product/Harvest-Snaps-Green-Pea-Snack-Crisps-Original/51359,$2.29 ,200+ Sold,$0.69/oz,"Harvest Snaps Green Pea Snack Crisps, Original",-19,United States,
Aishang Spicy Mimi Shrimp Crayfish Flavor Chips 180 g,https://www.sayweee.com/en/product/Aishang-Spicy-Mimi-Shrimp-Crayfish-Flavor-Chips/1235,$2.99 ,"50+ Sold,3 Left",,Aishang Spicy Mimi Shrimp Crayfish Flavor Chips,-70,Mainland China,AISHANG
Calbee Kettle Chips Black Pepper 5.29 oz,https://www.sayweee.com/en/product/Calbee-Kettle-Chips-Black-Pepper/23507,$3.99 ,300+ Sold,$0.75/oz,Calbee Kettle Chips Black Pepper,-8,Japan,Calbee
Calbee Hokkaido Jaga Pokkuru Premium Potato Chips 10ct 180 g,https://www.sayweee.com/en/product/Calbee-Hokkaido-Jaga-Pokkuru-Premium-Potato-Chips-10ct/58314,$19.99 ,500+ Sold,$0.11/g,Calbee Hokkaido Jaga Pokkuru Premium Potato Chips 10ct,-112,Japan,
