Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Nongfu C100 Lime Drink 445 ml,https://www.sayweee.com/en/product/Nongfu-C100-Lime-Drink/9370,$2.39,50+ Sold,,Nongfu C100 Lime Drink,(5),Mainland China,
DemiSoda Orange Carbonated Soft Drink 250 ml,https://www.sayweee.com/en/product/DemiSoda-Orange-Carbonated-Soft-Drink/37085,$1.09,50+ Sold,,DemiSoda Orange Carbonated Soft Drink,(10),South Korea,
Asahi Japan Monster Energy Drink Zero Sugar Ultra  12 fl.oz,https://www.sayweee.com/en/product/Asahi-Japan-Monster-Energy-Drink-Zero-Sugar-Ultra-/11159,$3.59,50+ Sold,$0.29/fl.oz,Asahi Japan Monster Energy Drink Zero Sugar Ultra,,Japan,Asahi
Star Mango Drink 1.5L 1 bottle,https://www.sayweee.com/en/product/Star-Mango-Drink-1-5L/70823,$2.99,50+ Sold,$2.99/bottle,Star Mango Drink 1.5L,,United States,Star
Monster Energy Drink Zero Ultra 16 oz,https://www.sayweee.com/en/product/Monster-Energy-Drink-Zero-Ultra/46137,$1.86,50+ Sold,$0.11/oz,Monster Energy Drink Zero Ultra,,United States,
"Ambrosial Greek Yogurt Drink, Cheese Flavor 10pk 1 box",https://www.sayweee.com/en/product/Ambrosial-Greek-Yogurt-Drink--Cheese-Flavor-10pk/89622,$31.49,50+ Sold,$31.49/box,"Ambrosial Greek Yogurt Drink, Cheese Flavor 10pk",(5),Mainland China,
Lotte Soft Drink 2% Peach Flavor 1500 ml,https://www.sayweee.com/en/product/Lotte-Soft-Drink-2--Peach-Flavor/50420,$4.99,50+ Sold,,Lotte Soft Drink 2% Peach Flavor,,South Korea,Lotte
Fremo Aloe Vera Drink Grape Flavor 500 ml,https://www.sayweee.com/en/product/Fremo-Aloe-Vera-Drink-Grape-Flavor/83452,$1.79,50+ Sold,,Fremo Aloe Vera Drink Grape Flavor,,South Korea,
"Just Pure Drinking Yogurt, Original Flavor 4pk 800 g",https://www.sayweee.com/en/product/Just-Pure-Drinking-Yogurt--Original-Flavor-4pk/70375,$10.29,50+ Sold,,"Just Pure Drinking Yogurt, Original Flavor 4pk",(16),Mainland China,
PALDO Pororo Milk Flavor Drink  235 ml,https://www.sayweee.com/en/product/PALDO-Pororo-Milk-Flavor-Drink-/27829,$1.39,50+ Sold,,PALDO Pororo Milk Flavor Drink,(4),South Korea,
Tang Ding Brown Sugar Rose Four Herb Concoction Sugar Cubes Drink 7pcs 210 g,https://www.sayweee.com/en/product/Tang-Ding-Brown-Sugar-Rose-Four-Herb-Concoction-Sugar-Cubes-Drink-7pcs/26731,$11.99,50+ Sold,$0.05/g,Tang Ding Brown Sugar Rose Four Herb Concoction Sugar Cubes Drink 7pcs,(3),Taiwan,
Kirin Salty Lychee Drink 500 ml,https://www.sayweee.com/en/product/Kirin-Salty-Lychee-Drink/510,$2.99,50+ Sold,,Kirin Salty Lychee Drink,(37),Japan,Kirin
Royal Tea Garden Juicy Lemon Tea Drink  500 ml,https://www.sayweee.com/en/product/Royal-Tea-Garden-Juicy-Lemon-Tea-Drink-/85428,$2.49,50+ Sold,,Royal Tea Garden Juicy Lemon Tea Drink,,Taiwan,
Peach Sparkling Drink  230 ml,https://www.sayweee.com/en/product/Peach-Sparkling-Drink-/30220,$2.49,50+ Sold,,Peach Sparkling Drink,(2),Mainland China,
SUN YEAM Almond Oak Drink Peach Flavor 265 g,https://www.sayweee.com/en/product/SUN-YEAM-Almond-Oak-Drink-Peach-Flavor/44618,$1.69,50+ Sold,,SUN YEAM Almond Oak Drink Peach Flavor,(2),Mainland China,
