Title,Title_link,Price,count___1LWwo,label___2DYkt,basePrice___25MCL,Headline,Field1,Field2,Field3
Khao Shong Nuts Coffee Flavored Coated Peanuts  12.68 oz,https://www.sayweee.com/en/product/Khao-Shong-Nuts-Coffee-Flavored-Coated-Peanuts-/30327,$5.99,50+ Sold,,,Khao Shong Nuts Coffee Flavored Coated Peanuts,(2),Thailand,
Peeled Chestnut 80 g,https://www.sayweee.com/en/product/Peeled-Chestnut/86271,$2.89,300+ Sold,New,,Peeled Chestnut,,Mainland China,
Wow Kasoy Cashew Nuts with Garlic Chips 80 g,https://www.sayweee.com/en/product/Wow-Kasoy-Cashew-Nuts-with-Garlic-Chips/32869,$3.99,"50+ Sold,5 Left",,,Wow Kasoy Cashew Nuts with Garlic Chips,(3),Philippines,
Wow Mani w/ Garlic Jar 550 g,https://www.sayweee.com/en/product/Wow-Mani-w--Garlic-Jar/10320,$7.99,,,,Wow Mani w/ Garlic Jar,,Philippines,
"LYFEN Broad Beans, Beef Flavor 205 g",https://www.sayweee.com/en/product/LYFEN-Broad-Beans--Beef-Flavor/99975,$3.39,"400+ Sold,40 Left",,,"LYFEN Broad Beans, Beef Flavor",(5),Mainland China,LYFEN
"Mushroomstorm Roasted Pecan Nuts, Original Flavor   200 g",https://www.sayweee.com/en/product/Mushroomstorm-Roasted-Pecan-Nuts--Original-Flavor--/1781,$14.99,400+ Sold,,,"Mushroomstorm Roasted Pecan Nuts, Original Flavor",(19),Mainland China,Mushroom Storm
Hbaf Baked Corn Almonds 7.4 oz,https://www.sayweee.com/en/product/Hbaf-Baked-Corn-Almonds/24687,$8.99,50+ Sold,,,Hbaf Baked Corn Almonds,(4),South Korea,
Hbaf Black Sugar Milk Tea Almond 6.7 oz,https://www.sayweee.com/en/product/Hbaf-Black-Sugar-Milk-Tea-Almond/24690,$8.99,,,,Hbaf Black Sugar Milk Tea Almond,(1),South Korea,
Haldirams Kkatta Meetha 400 g,https://www.sayweee.com/en/product/Haldirams-Kkatta-Meetha/11870,$5.99,,,,Haldirams Kkatta Meetha,(3),India,Haldiram's
Sugo Greaseless Hot & Spicy Peanuts 100 g,https://www.sayweee.com/en/product/Sugo-Greaseless-Hot---Spicy-Peanuts/86773,$2.29,,New,,Sugo Greaseless Hot & Spicy Peanuts,,Philippines,
Muncheros Chili Lemon Botana Snack Mix 12 oz,https://www.sayweee.com/en/product/Muncheros-Chili-Lemon-Botana-Snack-Mix/84419,$1.29,,,,Muncheros Chili Lemon Botana Snack Mix,,Mexico,
"Snak Club Tajin Peanuts, Chili and Lime 5 oz",https://www.sayweee.com/en/product/Snak-Club-Tajin-Peanuts--Chili-and-Lime/82484,$3.89,,,,"Snak Club Tajin Peanuts, Chili and Lime",,Mexico,
"Sabritas Peanuts, Salt and Lime Flavor 7 oz",https://www.sayweee.com/en/product/Sabritas-Peanuts-Salt-and-Lime-Flavor/70396,$2.99,,,,"Sabritas Peanuts, Salt and Lime Flavor",(1),Mexico,
Hbaf Jeju Matcha Almond 6.7 oz,https://www.sayweee.com/en/product/Hbaf-Jeju-Matcha-Almond/24692,$8.99,,,,Hbaf Jeju Matcha Almond,(2),South Korea,
Hbaf Garlic Bread Almond  7.4 oz,https://www.sayweee.com/en/product/Hbaf-Garlic-Bread--Almond--/24693,$8.99,,,,Hbaf Garlic Bread Almond,(3),South Korea,
Tryone Spicy Peanuts with Dried Shrimp  150 g,https://www.sayweee.com/en/product/Tryone-Spicy-Peanuts-with-Dried-Shrimp-/10618,$3.19,100+ Sold,,,Tryone Spicy Peanuts with Dried Shrimp,(23),Mainland China,
"LYFEN Broad Bean, Crab Roe Flavor 165 g",https://www.sayweee.com/en/product/LYFEN-Broad-Bean--Crab-Roe-Flavor/444,$3.29,400+ Sold,,,"LYFEN Broad Bean, Crab Roe Flavor",(10),Mainland China,LYFEN
"Haldirams Nut Cracker, Spicy Coated Fried Peanuts 400 g",https://www.sayweee.com/en/product/Haldirams-Nut-Cracker--Spicy-Coated-Fried-Peanuts/11875,$4.99,,,,"Haldirams Nut Cracker, Spicy Coated Fried Peanuts",(1),India,Haldiram's
Muncheros Hot & Spicy Peanut 5 oz,https://www.sayweee.com/en/product/Muncheros-Hot---Spicy-Peanut/86924,$4.19,,New,,Muncheros Hot & Spicy Peanut,,Mexico,
Sabritas Japanese Peanuts 7 oz,https://www.sayweee.com/en/product/Sabritas-Japanese-Peanuts/83000,$3.19,,,,Sabritas Japanese Peanuts,,Mexico,
Haldirams Moong Dal 400 g,https://www.sayweee.com/en/product/Haldirams-Moong-Dal/11894,$4.99,,,,Haldirams Moong Dal,(1),India,
Haldirams Kashmiri Mixture 400 g,https://www.sayweee.com/en/product/Haldirams-Kashmiri-Mixture/11896,$7.99,,,,Haldirams Kashmiri Mixture,,India,
GROWERS Garlic Flavor Peanuts BIG 80 g,https://www.sayweee.com/en/product/GROWERS-Garlic-Flavor-Peanuts-BIG/14824,$4.49,"50+ Sold,1 Left",4% Off,$4.69,GROWERS Garlic Flavor Peanuts BIG,(3),Philippines,
Hbaf Caramel Salted Almond & Pretzel 7.4 oz,https://www.sayweee.com/en/product/Hbaf-Caramel-Salted-Almond---Pretzel/24685,$8.99,,,,Hbaf Caramel Salted Almond & Pretzel,(4),South Korea,
"Sunflower Seeds, Crayfish Flavor 90 g",https://www.sayweee.com/en/product/Sunflower-Seeds--Crayfish-Flavor/30144,$2.79,100+ Sold,,,"Sunflower Seeds, Crayfish Flavor",(10),Mainland China,
Sunflower Seed Dried Orange Flavor 90 g,https://www.sayweee.com/en/product/Sunflower-Seed-Dried-Orange-Flavor/30148,$2.79,300+ Sold,,,Sunflower Seed Dried Orange Flavor,(11),Mainland China,
Guan Hua Roasted Garlic Peanuts  400 g,https://www.sayweee.com/en/product/Guan-Hua-Roasted-Garlic-Peanuts-/44667,$3.99,100+ Sold,20% Off,$4.99,Guan Hua Roasted Garlic Peanuts,(1),Mainland China,
Shan Li Ren Roasted Pecan in Shell  180 g,https://www.sayweee.com/en/product/Shan-Li-Ren-Roasted-Pecan-in-Shell-/34857,$7.99,,,,Shan Li Ren Roasted Pecan in Shell,,Mainland China,
Three Squirrels Macadamia Nuts 160 g,https://www.sayweee.com/en/product/Three-Squirrels-Macadamia-Nuts/58718,$7.19,"50+ Sold,2 Left",,,Three Squirrels Macadamia Nuts,(21),Mainland China,THREE SQUIRRELS
Japanese Style Coated Peanuts 330 g,https://www.sayweee.com/en/product/Japanese-Style-Coated-Peanuts/39816,$5.99,"300+ Sold,20 Left",New,,Japanese Style Coated Peanuts,(30),Mainland China,
Lyfen Original Sunflower Seeds 180 g,https://www.sayweee.com/en/product/Lyfen-Original-Sunflower-Seeds/74825,$3.19,400+ Sold,20% Off,$3.99,Lyfen Original Sunflower Seeds,(18),Mainland China,LYFEN
Ammas Kitchen Madras Mix 400 g,https://www.sayweee.com/en/product/Ammas-Kitchen-Madras-Mix/35424,$4.29,,,,Ammas Kitchen Madras Mix,,India,
24 mantra Cashew Whole Organic 7 oz,https://www.sayweee.com/en/product/24-mantra-Cashew-Whole-Organic/20833,$10.99,,,,24 mantra Cashew Whole Organic,,India,
