Title,Title_link,Thumbnail,brand-title,price-sup,Price,comment-star__count,Headline,Field1,Field2,Field3
Chocolate Cream Wafer 150g,https://www.yamibuy.com/en/p/chocolate-cream-wafer-150g/3016091191,https://cdn.yamibuy.net/item/0a84f7861305d04d19674fe54b0b9df7_684x684.webp,A1,,,,Chocolate Cream Wafer 150g,Be the first!,Malaysia,
Matcha Latte Flavor Wafer 11pc,https://www.yamibuy.com/en/p/matcha-latte-flavor-wafer-11pc/3017044771,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,Matcha Latte Flavor Wafer 11pc,Be the first!,Japan,
MUM'S Bake Wafer Qube Chocolate Cream 100g,https://www.yamibuy.com/en/p/mum-s-bake-wafer-qube-chocolate-cream-100g/3016098781,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,COCOLAND,,,,MUM'S Bake Wafer Qube Chocolate Cream 100g,Be the first!,Malaysia,
MUM'S Bake Wafer Qube Coconut Cream 100g,https://www.yamibuy.com/en/p/mum-s-bake-wafer-qube-coconut-cream-100g/3016098761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,COCOLAND,,,,MUM'S Bake Wafer Qube Coconut Cream 100g,Be the first!,Malaysia,
10 Limited flavor Wafer Christmas Package 25pc,https://www.yamibuy.com/en/p/10-limited-flavor-wafer-christmas-package-25pc/3017043201,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,10 Limited flavor Wafer Christmas Package 25pc,Be the first!,Japan,
OKAYAMA Sakura Wafer 7pc,https://www.yamibuy.com/en/p/okayama-kitchoan-sakura-wafer-7pc/3016030121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kitchoan,,,1,OKAYAMA Sakura Wafer 7pc,1,Japan,5
JAPAN HOKKAIDO Hazelnut Chocolate Wafer 6pc,https://www.yamibuy.com/en/p/japan-hokkaido-hazelnut-chocolate-wafer-6pc/3018036431,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYCE,,,,JAPAN HOKKAIDO Hazelnut Chocolate Wafer 6pc,Be the first!,Japan,
JAPAN KIT KAT CHEESE CAKE Chocolate wafer 9pc,https://www.yamibuy.com/en/p/japan-kit-kat-cheese-cake-chocolate-wafer-12pc/3018034581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,JAPAN KIT KAT CHEESE CAKE Chocolate wafer 9pc,2,Japan,4.5
KIT KAT Peach Chocolate wafer 11pc,https://www.yamibuy.com/en/p/kit-kat-peach-chocolate-wafer-11pc/3018049671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT Peach Chocolate wafer 11pc,Be the first!,Japan,
Vanilla Milk Cream Wafer 50g,https://www.yamibuy.com/en/p/vanilla-milk-cream-wafer-50g/3016091141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A1,,,,Vanilla Milk Cream Wafer 50g,Be the first!,Malaysia,
Mini Wafer Bites ChocoChoco 200g,https://www.yamibuy.com/en/p/mini-wafer-bites-chocochoco-80g/3016098701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,,Mini Wafer Bites ChocoChoco 200g,Be the first!,Malaysia,
Mini Wafer Bites Durian 80g,https://www.yamibuy.com/en/p/mini-wafer-bites-durian-80g/3016098691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,,Mini Wafer Bites Durian 80g,Be the first!,Malaysia,
KIT KAT TOKYO Rum Raisin Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-tokyo-rum-raisin-flavor-chocolate-wafer-12pc/3017012911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,4,KIT KAT TOKYO Rum Raisin Flavor Chocolate Wafer 10pc,4,Japan,4.8
KIT KAT OKINAWA Purple Sweet Potato Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-okinawa-purple-sweet-potato-flavor-chocolate-wafer-12pc/3017012861,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,2,KIT KAT OKINAWA Purple Sweet Potato Flavor Chocolate Wafer 10pc,2,Japan,4
KIT KAT HOKURIKU Red Bean Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-hokuriku-red-bean-flavor-chocolate-wafer-12pc/3017012891,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,1,KIT KAT HOKURIKU Red Bean Flavor Chocolate Wafer 10pc,1,Japan,5
Cheese Cream Wafer 150g,https://www.yamibuy.com/en/p/cheese-cream-wafer-150g/3016091201,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A1,,,,Cheese Cream Wafer 150g,Be the first!,Malaysia,
KITKAT Oat Chocolate wafer 13pc,https://www.yamibuy.com/en/p/kitkat-oat-chocolate-wafer-13pc/3018039091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,3,KITKAT Oat Chocolate wafer 13pc,3,Japan,4.7
KIT KAT Chocolate Wafer Bars Heavy Matcha Flavor 13pc,https://www.yamibuy.com/en/p/kit-kat-heavy-matcha-flavor-chocolate-wafer-13pc/3017035701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,$7.99,,KIT KAT Chocolate Wafer Bars Heavy Matcha Flavor 13pc,Be the first!,Japan,
KIT KAT geographical limited series Hokkaido small bean & strawberry chocolate wafer 10 pieces,https://www.yamibuy.com/en/p/kit-kat-geographical-limited-series-hokkaido-small-bean-strawberry-chocolate-wafer-12-pieces/3017026141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT geographical limited series Hokkaido small bean & strawberry chocolate wafer 10 pieces,Be the first!,Japan,
KIT KAT Coffee Chocolate wafer 12pc,https://www.yamibuy.com/en/p/kit-kat-coffee-chocolate-wafer-12pc/3018045921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT Coffee Chocolate wafer 12pc,Be the first!,Japan,
Chocolate Wafer Hazel Cream 12pc,https://www.yamibuy.com/en/p/chocolate-wafer-hazel-cream-12pc/3018038891,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYCE,,,,Chocolate Wafer Hazel Cream 12pc,Be the first!,Japan,
Max Chocolate Hazelnut Cream Wafer 145g,https://www.yamibuy.com/en/p/max-chocolate-hazelnut-cream-wafer-145g/3016091181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A1,,,,Max Chocolate Hazelnut Cream Wafer 145g,Be the first!,Malaysia,
Chocolate Cream Wafer 50g,https://www.yamibuy.com/en/p/chocolate-cream-wafer-50g/3016091171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A1,,,,Chocolate Cream Wafer 50g,Be the first!,Malaysia,
Magic Wafer Cubes Hazelnut Flavoured Cream 130g,https://www.yamibuy.com/en/p/magic-wafer-cubes-hazelnut-flavoured-cream-130g/3016098791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TORTO,,,,Magic Wafer Cubes Hazelnut Flavoured Cream 130g,Be the first!,Hong Kong,
Mini Wafer Bites Matcha 200g,https://www.yamibuy.com/en/p/mini-wafer-bites-matcha-200g/3016098711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,,Mini Wafer Bites Matcha 200g,Be the first!,Malaysia,
