Title,Title_link,Thumbnail,brand-title,price-sup,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Cheese Edition Potato Chips 68g,https://www.yamibuy.com/en/p/chitato-cheese-edition-potato-chips-68g/3017034591,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHITATO,,,,,Cheese Edition Potato Chips 68g,Be the first!,Malaysia,
TOKYO BANANA Japanese Pepper Miso Chips 4pc,https://www.yamibuy.com/en/p/calbee-tokyo-banana-japanese-pepper-miso-chips-4pc/3017033431,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,,,,4 Options,TOKYO BANANA Japanese Pepper Miso Chips 4pc,1,Japan,5
TOKYO BANANA Katsuo Kombu Dashi Chips 4pc,https://www.yamibuy.com/en/p/calbee-tokyo-banana-katsuo-kombu-dashi-chips-4pc/3017033411,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,,,,4 Options,TOKYO BANANA Katsuo Kombu Dashi Chips 4pc,Be the first!,Japan,
TWISTIES CHACHO'S Tortilla Corn Chips Spicy Curry 185g,https://www.yamibuy.com/en/p/mondelez-twisties-chacho-s-tortilla-corn-chips-spicy-curry-185g/3017031411,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MONDELEZ,,,,,TWISTIES CHACHO'S Tortilla Corn Chips Spicy Curry 185g,Be the first!,Japan,
TWISTIES CHACHO'S Tortilla Corn Chips BBQ Bonanza 185g,https://www.yamibuy.com/en/p/mondelez-twisties-chacho-s-tortilla-corn-chips-bbq-bonanza-185g/3017031391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MONDELEZ,,,,,TWISTIES CHACHO'S Tortilla Corn Chips BBQ Bonanza 185g,Be the first!,Japan,
TWISTIES CHACHO'S Tortilla Corn Chips Spicy Curry 70g,https://www.yamibuy.com/en/p/mondelez-twisties-chacho-s-tortilla-corn-chips-spicy-curry-80g/3017031361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MONDELEZ,,,,,TWISTIES CHACHO'S Tortilla Corn Chips Spicy Curry 70g,Be the first!,Japan,
Crispy Rice Chips original flavor 220g,https://www.yamibuy.com/en/p/crispy-rice-chips-original-flavor-220g/1017045361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,Buy $150 get 1 free gift,,$3.69,,Crispy Rice Chips original flavor 220g,Be the first!,China,
2-Color Sweet Potato Chips 180g,https://www.yamibuy.com/en/p/liancheng-sweet-potato-chips-2-colors-180g/1016096981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Liancheng,Buy $150 get 1 free gift,,$6.39,,2-Color Sweet Potato Chips 180g,Be the first!,Taiwan,
Fish&Chips,https://www.yamibuy.com/en/p/fish-chips/1149012711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,,,$7.99,,Fish&Chips,Be the first!,Korea,
Crispy Rice Chips Hot and Spicy flavor 220g,https://www.yamibuy.com/en/p/crispy-rice-chips-hot-and-spicy-flavor-220g/1017045371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,Buy $150 get 1 free gift,,$3.69,,Crispy Rice Chips Hot and Spicy flavor 220g,Be the first!,China,
