Title,Title_link,Thumbnail,brand-title,brand-variants,comment-star__count,Price,Headline,Field1,Field2,Field3,Field4
Egg Yolk Puff with Chewy Mochi and Red Bean Paste 110g 2pc,https://www.yamibuy.com/en/p/fortune-bakery-egg-yolk-puff-with-chewy-mochi-and-red-bean-paste-110g-two-in/1016061131?scene=item_search.result&bu_type=search&module_name=input&index=36&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,8 Options,,$6.99,Egg Yolk Puff with Chewy Mochi and Red Bean Paste 110g 2pc,204,United States,Red Bean Paste,4.6
DXC-Fruit Mochi Mango Flavor 210g,https://www.yamibuy.com/en/p/dxc-fruit-mochi-mango-flavor-210g/1016057021?scene=item_search.result&bu_type=search&module_name=input&index=37&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,3 Options,,$4.39,DXC-Fruit Mochi Mango Flavor 210g,181,China,Mango Flavor 210g,4.5
"CHEWY PUFF Mochi, Durian and Mango 330g",https://www.yamibuy.com/en/p/chewy-puff-mochi-durian-and-mango-330g/1016082101?scene=item_search.result&bu_type=search&module_name=input&index=38&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,5 Options,4,$15.99,"CHEWY PUFF Mochi, Durian and Mango 330g",4,United States,Durian Mango,4.2
【Frozen】Mochi Matcha Flavor 70pc,https://www.yamibuy.com/en/p/hh-warabi-mochi-matcha-70pc/1149011861?scene=item_search.result&bu_type=search&module_name=input&index=39&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HIRAHACHI,,1,,【Frozen】Mochi Matcha Flavor 70pc,1,Japan,,5
Taiwan Dessert Ube Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-ube-mochi-210g/1016059801?scene=item_search.result&bu_type=search&module_name=input&index=40&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$2.29,Taiwan Dessert Ube Mochi 210g,13,Taiwan,,3.8
Taiwan Dessert Green Tea Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-green-tea-mochi-210g/1016059791?scene=item_search.result&bu_type=search&module_name=input&index=41&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$2.29,Taiwan Dessert Green Tea Mochi 210g,21,Taiwan,,4.3
Taiwan Dessert Taro Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-taro-mochi-210g/1016059761?scene=item_search.result&bu_type=search&module_name=input&index=42&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$2.29,Taiwan Dessert Taro Mochi 210g,23,Taiwan,,4
Caco Mochi-Mango 80g,https://www.yamibuy.com/en/p/royal-family-caco-mochi-mango-79g/1016059751?scene=item_search.result&bu_type=search&module_name=input&index=43&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,6 Options,,,Caco Mochi-Mango 80g,13,Taiwan,,4.4
Egg Yolk Puff with Chewy Mochi and Red Bean Paste 330g,https://www.yamibuy.com/en/p/fortune-bakery-egg-yolk-puff-red-bean-flavor-330g/1016058961?scene=item_search.result&bu_type=search&module_name=input&index=44&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,8 Options,,$19.99,Egg Yolk Puff with Chewy Mochi and Red Bean Paste 330g,420,United States,Taiwan,4.6
DXC-Fruit Mochi Coconut Milk Flavor 210g,https://www.yamibuy.com/en/p/dxc-fruit-mochi-coconut-milk-flavo-210g/1016057001?scene=item_search.result&bu_type=search&module_name=input&index=45&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,3 Options,,$4.39,DXC-Fruit Mochi Coconut Milk Flavor 210g,318,China,Coconut Milk Flavo 210g,4.8
Milk Mochi 120g,https://www.yamibuy.com/en/p/milk-mochi-120g/3016090561?scene=item_search.result&bu_type=search&module_name=input&index=46&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,,Milk Mochi 120g,Be the first!,Taiwan,Taiwan,
Strawberry Mochi 120g,https://www.yamibuy.com/en/p/strawberry-mochi-120g/3016090551?scene=item_search.result&bu_type=search&module_name=input&index=47&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,1,,Strawberry Mochi 120g,1,Taiwan,Taiwan,4
Mixed Mochi Peanuts Matcha Red Bean Mochi& Sesame 250g,https://www.yamibuy.com/en/p/royal-family-mixed-mochi-peanuts-matcha-red-bean-mochi-sesame-250g/3016078541?scene=item_search.result&bu_type=search&module_name=input&index=48&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,,Mixed Mochi Peanuts Matcha Red Bean Mochi& Sesame 250g,Be the first!,Taiwan,Taiwan,
,,,,,,,,,,,
,,,,,,,,,,,
Japanese Mochi Peanut Flavour 152g,https://www.yamibuy.com/en/p/japanese-mochi-peanut-flavour-152g/3016090521,https://cdn.yamibuy.net/item/6b8f2ac33691b05bd9f329ead38d5fc8_684x684.webp,ROYAL FAMILY,,,,Japanese Mochi Peanut Flavour 152g,Be the first!,Taiwan,Taiwan,
Japanese Mochi Sesame Flavour 152g,https://www.yamibuy.com/en/p/japanese-mochi-sesame-flavour-152g/3016090531,https://cdn.yamibuy.net/item/5e7d964a3234c50005bdafe8c4f6fe58_684x684.webp,ROYAL FAMILY,,,,Japanese Mochi Sesame Flavour 152g,Be the first!,Taiwan,Taiwan,
Mochi Dumplings Sakura Flavor 120g,https://www.yamibuy.com/en/p/mochi-dumplings-sakura-flavor-120g/3016097791,https://cdn.yamibuy.net/item/6129668ccb78be4e755f05b1fed53cfd_684x684.webp,BE & CHEERY,3 Options,,$9.90,Mochi Dumplings Sakura Flavor 120g,Be the first!,China,,
Mochi Dumpling Mango Flavor 120g,https://www.yamibuy.com/en/p/mochi-dumpling-mango-flavor-120g/3016097771,https://cdn.yamibuy.net/item/0883f709df76af710e1dad6b09d1d6ca_684x684.webp,BE & CHEERY,3 Options,,$9.90,Mochi Dumpling Mango Flavor 120g,Be the first!,China,,
Durian Mochi 210g,https://www.yamibuy.com/en/p/durian-mochi-210g/3016090501,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,,Durian Mochi 210g,Be the first!,Taiwan,Taiwan,
Mochi Dumplings Matcha Flavor 120g,https://www.yamibuy.com/en/p/mochi-dumplings-matcha-flavor-120g/3016097781,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BE & CHEERY,3 Options,,$9.90,Mochi Dumplings Matcha Flavor 120g,Be the first!,China,,
Fruit Mochi Peach Flavor 132g,https://www.yamibuy.com/en/p/fruit-mochi-peach-flavor-132g/3016090511,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,,Fruit Mochi Peach Flavor 132g,Be the first!,Taiwan,Taiwan,
SHIGA Mochi 5pc,https://www.yamibuy.com/en/p/shiga-kanou-mochi-5pc/3016080421,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kanou,13 Options,,,SHIGA Mochi 5pc,Be the first!,Japan,Japan,
Red Bean Mochi Cake  700g 10pcs,https://www.yamibuy.com/en/p/red-bean-q-cake-700g-10pcs/3016083811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dunetai,,1,,Red Bean Mochi Cake  700g 10pcs,1,Taiwan,Taiwan,3
Fruit Mochi Mango Flavor 132g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-mango-flavor-132g/3016073551,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$8.99,Fruit Mochi Mango Flavor 132g,Be the first!,Taiwan,Taiwan,
Tropical Fruity Mochi 250g,https://www.yamibuy.com/en/p/royal-family-tropical-fruity-mochi-250g/3016064101,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$6.50,Tropical Fruity Mochi 250g,Be the first!,Taiwan,Taiwan,
Fruit Mochi Blueberry Flavor 132g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-blueberry-flavor-132g/3016073541,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$8.99,Fruit Mochi Blueberry Flavor 132g,Be the first!,Taiwan,Taiwan,
SHIGA Mochi Box 5pc,https://www.yamibuy.com/en/p/shiga-kanou-mochi-box-5pc/3016019291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kanou,13 Options,21,,SHIGA Mochi Box 5pc,22,Japan,Japan,4.8
Fruit Mochi Strawberry Flavor 132g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-strawberry-flavor-132g/3016073561,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$8.99,Fruit Mochi Strawberry Flavor 132g,Be the first!,Taiwan,Taiwan,
Mixed Mochi 250g,https://www.yamibuy.com/en/p/royal-family-mixed-mochi-250g/3016064091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$8.99,Mixed Mochi 250g,Be the first!,Taiwan,Taiwan,
