Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2
"chính hiệu  ""Minh Ngoc"" Green Bean Cake      12.95 oz.",https://www.yamibuy.com/en/p/minh-ngoc-green-bean-cake-12-95-oz/1016097671?scene=item_search.result&bu_type=search&module_name=input&index=42&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Minh Ngoc,,$5.99,,"chính hiệu  ""Minh Ngoc"" Green Bean Cake      12.95 oz.",,Vietnam
Southern Date and Walnut Cake 80g,https://www.yamibuy.com/en/p/zest-nova-southern-date-and-walnut-cake-80g/1018028901?scene=item_search.result&bu_type=search&module_name=input&index=43&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Zest Nova,,$3.59,,Southern Date and Walnut Cake 80g,,China
Sun Cake 12pcs,https://www.yamibuy.com/en/p/billionaire-sun-cake/1016064771?scene=item_search.result&bu_type=search&module_name=input&index=44&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHEN YUN PAO CHUAN,14,,8 Options,Sun Cake 12pcs,4.7,Taiwan
Half Baked Lava Custard Cake 180g,https://www.yamibuy.com/en/p/half-baked-lava-custard-cake-180g/1016094001?scene=item_search.result&bu_type=search&module_name=input&index=45&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIKODO,,$6.89,,Half Baked Lava Custard Cake 180g,,China
Cup Rice Cake 153g,https://www.yamibuy.com/en/p/cup-rice-cake-153g/1150004091?scene=item_search.result&bu_type=search&module_name=input&index=46&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,,$2.89,,Cup Rice Cake 153g,,Korea
【Frozen】Peking Red Bean Cake,https://www.yamibuy.com/en/p/frozen-peking-red-bean-cake/1149014901?scene=item_search.result&bu_type=search&module_name=input&index=47&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,old town,,,,【Frozen】Peking Red Bean Cake,,China
Milk Cake High Calcium 400g,https://www.yamibuy.com/en/p/milk-cake-high-calcium-400g/1016098431?scene=item_search.result&bu_type=search&module_name=input&index=48&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Gold Fuji,,$4.59,,Milk Cake High Calcium 400g,,China
,,,,,,,,,
,,,,,,,,,
chính hiệu  Green Bean Cake (Durian Flavor 10.5 oz.,https://www.yamibuy.com/en/p/green-bean-cake-durian-flavor-10-5-oz/1016097691,https://cdn.yamibuy.net/item/c750d6e723de9e0fe41268ac7941de66_684x684.webp,Minh Ngoc,,$5.89,,chính hiệu  Green Bean Cake (Durian Flavor 10.5 oz.,,Vietnam
