Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
Refresh Orange Tea 430ml,https://www.yamibuy.com/en/p/kirin-gogono-kocha-refresh-orange-tea-430ml/1020037231,KIRIN,10,$2.49,,,,10,,Japan,4.6
Baked Black Milk Tea 280ml,https://www.yamibuy.com/en/p/baked-black-milk-tea-280ml/1020059111,XIANGPIAOPIAO,11,$3.29,,,,11,,China,4.4
Cucumber Soda Water 500ml,https://www.yamibuy.com/en/p/yuanqisenlin-cucumber-flavor-soda-water-500ml/1020019231,Genki Forest,259,$2.09,9 Options,,,259,China,China,4.6
Almond Drink 250ml,https://www.yamibuy.com/en/p/lulu-almond-drink-250ml/1020006021,LULU,105,$1.29,,,,105,China,China,4.4
Morning Rice Drink 500ml,https://www.yamibuy.com/en/p/woongjin-rice-flavored-drink-morning-rice-500ml/1020024201,WOONGJIN,65,$2.19,,,,65,Korea,Korea,4.6
BOSS Premium Black Coffee 390ml,https://www.yamibuy.com/en/p/suntory-boss-premium-black-coffee-390ml/1020001161,SUNTORY,11,$2.39,,,,11,,Japan,4.7
Sugar Free Rice Oolong Tea 500ml,https://www.yamibuy.com/en/p/genki-forest-sugar-free-rice-oolong-tea-500ml/1020029691,Genki Forest,169,$1.99,4 Options,,,169,China,China,4.6
NECTAR Flesh White Peach Drink 380ml,https://www.yamibuy.com/en/p/fujiya-ito-garden-nectar-flesh-white-peach-380g/1020038331,FUJIYA,82,$2.69,,,,82,,Japan,4.7
VITA Lime Lemon Tea 250ml Pack of 6,https://www.yamibuy.com/en/p/vita-lime-lemon-tea-250ml-pack-of-6/1020030871,VITASOY,38,,5 Options,$4.09,$4.74,38,Hong Kong,Hong Kong,4.8
Sparkling Water Mango*3+Lychee*3+Calamansi*3,https://www.yamibuy.com/en/p/sparkling-water-mango-3-lychee-3-calamansi-3/1020055921,Sanzo,4,,4 Options,$18.99,$20.61,4,,United States,5
Apple Drinks 235ml,https://www.yamibuy.com/en/p/apple-drinks-235ml/1020047611,BIOSTAR PORORO,2,$1.29,8 Options,,,2,Apple Flavor,Korea,5
MengNiu ZhenGuoLi Yogurt Peach and Raspberry Flavor 240g,https://www.yamibuy.com/en/p/mengniu-zhenguoli-yogurt-peach-and-raspberry-flavor-240g/1020053051,MENGNIU,108,,2 Options,$2.39,$2.99,108,Peach and Raspberry Flavor,China,4.9
