Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
HongKong Style Rice Noodle Pork Bone Flavor 289g,https://www.yamibuy.com/en/p/hongkong-style-rice-noodle-pork-bone-flavor-289g/1021089081?scene=item_search.result&bu_type=search&module_name=input&index=48&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BaMan,1,,$6.99,$7.49,7% OFF,HongKong Style Rice Noodle Pork Bone Flavor 289g,1,,China,5
,,,,,,,,,,,,,
K-Army Stew Style Noodle Soup Big Bowl 114g,https://www.yamibuy.com/en/p/jjajang-noodles-chapa-guri-spicy-seafood-noodles/1021085671,https://cdn.yamibuy.net/item/36e94505ee54eca3b4f45d8c8c829fe8_684x684.webp,NONGSHIM,,$2.49,,,,K-Army Stew Style Noodle Soup Big Bowl 114g,Be the first!,,Korea,
Red Oil Wide Noodle With Sesame Sauce,https://www.yamibuy.com/en/p/red-oil-wide-noodle-with-sesame-sauce/1021087061,https://cdn.yamibuy.net/item/77d6d6c4ed3782b63b5dd9f98f75c130_684x684.webp,HUANMIAN,,,$4.99,$5.99,17% OFF,Red Oil Wide Noodle With Sesame Sauce,Be the first!,,China,
Mee Goreng Ramen Noodle 110g,https://www.yamibuy.com/en/p/mee-goreng-ramen-noodle-110g/1021088031,https://cdn.yamibuy.net/item/83b32087357a7727be97eaa91adecc15_684x684.webp,DRAGONFLY BRAND,,$1.29,,,,Mee Goreng Ramen Noodle 110g,Be the first!,,China,
WEILIH Onion Instant Noodle 5pcs,https://www.yamibuy.com/en/p/weilih-onion-instant-noodle-5pcs/1021003841,https://cdn.yamibuy.net/item/2228183621ea7c996b0a9a0356456c06_684x684.webp,WEILIH,7,$4.59,,,,WEILIH Onion Instant Noodle 5pcs,7,Taiwan,Taiwan,5
Shaanxi Cold Noodle Hot 168g,https://www.yamibuy.com/en/p/qinzong-shaanxi-cold-noodle-hot-165g/1021025121,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,QINZONG,142,,$3.49,$3.99,13% OFF,Shaanxi Cold Noodle Hot 168g,142,"Wheat flour, potato starch, water, salt, rapeseed oil, chili powder, vinegar, etc.",China,4.4
Glass Noodle Potato Starch 17.63oz,https://www.yamibuy.com/en/p/glass-noodle-potato-starch-17-63oz/1021088901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANG FOOD,1,$4.99,,,,Glass Noodle Potato Starch 17.63oz,1,,Korea,5
Cup Noodle Bowl Noodle Chicken Flavor 71g,https://www.yamibuy.com/en/p/nissin-cup-noodle-bowl-noodle-chicken-flavor-74g/1021006311,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,61,$1.89,,,,Cup Noodle Bowl Noodle Chicken Flavor 71g,62,Japan,Japan,4.6
HongKong Style Rice Noodle Tomato Beef Flavor 297g,https://www.yamibuy.com/en/p/hongkong-style-rice-noodle-tomato-beef-flavor-297g/1021089061,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BaMan,1,,$6.99,$7.49,7% OFF,HongKong Style Rice Noodle Tomato Beef Flavor 297g,1,,China,5
Shin Noodle Soup Vegan 75g,https://www.yamibuy.com/en/p/shin-vegan-cup-nongshim/1021087011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,,$1.29,,,,Shin Noodle Soup Vegan 75g,Be the first!,,Korea,
Dry Peas Mixed Noodles 280g,https://www.yamibuy.com/en/p/kings-dry-peas-mixed-noodles-282g/1021070501,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KINGS NOODLE,,$6.99,,,,Dry Peas Mixed Noodles 280g,Be the first!,Peas Mixed Noodles,China,4.8
Jah Jan Instant Noodle 5pcs,https://www.yamibuy.com/en/p/weilih-jah-jan-instant-noodle-5pcs/1021003831,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WEILIH,185,$4.25,,,,Jah Jan Instant Noodle 5pcs,186,Taiwan,Taiwan,4.2
Dried Glass Noodle-Sweet Potato 5lb,https://www.yamibuy.com/en/p/dried-glass-noodle-sweet-potato-5lb/1149015801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAYONE,,$17.99,,,,Dried Glass Noodle-Sweet Potato 5lb,Be the first!,,Korea,
Dried Noodle(Somen) 500g,https://www.yamibuy.com/en/p/dried-noodle-somen-500g/1149015791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAYONE,,$3.69,,,,Dried Noodle(Somen) 500g,Be the first!,,Korea,
Dried Noodle(Somen) 3lb,https://www.yamibuy.com/en/p/dried-noodle-somen-3lb/1149015781,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAYONE,,$6.99,,,,Dried Noodle(Somen) 3lb,Be the first!,,Korea,
