Title,Title_link,Thumbnail,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3,Field4
Salt  Camembett Cookies 10pc,https://www.yamibuy.com/en/p/tokyo-milk-cheese-factory-salt-camembett-cookies-10pc/3016019691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOKYO MILK CHEESE FACTORY,,102,Salt  Camembett Cookies 10pc,,Japan,Japan,TOKYO MILK CHEESE FACTORY
Netherlands Cookies 90g,https://www.yamibuy.com/en/p/netherlands-cookies-90g/3016097381,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,Netherlands Cookies 90g,,Japan,Japan,Sable Michelle
Paris Cookies 90g,https://www.yamibuy.com/en/p/paris-cookies-90g/3016098181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,Paris Cookies 90g,,Japan,Japan,Sable Michelle
Singapore Cookies 90g,https://www.yamibuy.com/en/p/singapore-cookies-90g/3016098171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,Singapore Cookies 90g,,Japan,Japan,Sable Michelle
Three Flavor Coconut cookies 18pc,https://www.yamibuy.com/en/p/three-flavor-coconut-cookies-18pc/3016097401,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,belle plage,,,Three Flavor Coconut cookies 18pc,,Japan,Japan,belle plage
London Cookies 90g,https://www.yamibuy.com/en/p/london-cookies-90g/3016098161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,London Cookies 90g,,Japan,Japan,Sable Michelle
Double Choco Cookies 5x10G,https://www.yamibuy.com/en/p/double-choco-cookies-5x10g/3016098661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,Double Choco Cookies 5x10G,,Malaysia,,LAVA BITES
Crispy Cookies with Strawberry Filling 5x10G,https://www.yamibuy.com/en/p/crispy-cookies-with-strawberry-filling-5x10g/3016098641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,Crispy Cookies with Strawberry Filling 5x10G,,Malaysia,,LAVA BITES
HOKKAIDO Raisin Cream Cookies 5pc,https://www.yamibuy.com/en/p/hokkaido-rokkatei-raisin-cream-cookies-5pc/3016018181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROKKATEI,,56,HOKKAIDO Raisin Cream Cookies 5pc,,Japan,,ROKKATEI
Honey  Gorgnzola Cookies 10pc,https://www.yamibuy.com/en/p/tokyo-milk-cheese-factory-honey-gorgnzola-cookies-10pc/3016019701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOKYO MILK CHEESE FACTORY,,57,Honey  Gorgnzola Cookies 10pc,,Japan,Japan,TOKYO MILK CHEESE FACTORY
Nougat Green Onion Cookies 12pcs/180g,https://www.yamibuy.com/en/p/chiate-nougat-green-onion-cookies-12pcs-290g/3016056961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIA TE,,47,Nougat Green Onion Cookies 12pcs/180g,,Taiwan,Taiwan,CHIA TE
ISHIYA SHIROI KOIBITO White Lover White Chocolate Cookies 12pcs,https://www.yamibuy.com/en/p/ishiya-shiroi-koibito-white-lover-white-chocolate-cookies-12pcs/3016069161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ISHIYA SEIKA,,,ISHIYA SHIROI KOIBITO White Lover White Chocolate Cookies 12pcs,,Japan,Japan,ISHIYA SEIKA
Japan Cookies 90g,https://www.yamibuy.com/en/p/japan-cookies-90g/3016097391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,Japan Cookies 90g,,Japan,Japan,Sable Michelle
Italy Cookies 90g,https://www.yamibuy.com/en/p/italy-cookies-90g/3016098191,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,Italy Cookies 90g,,Japan,Japan,Sable Michelle
JAPAN ISHIYA White Chocolate Cookies 27pc,https://www.yamibuy.com/en/p/japan-ishiya-white-chocolate-cookies-27pc/3016074811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ISHIYA SEIKA,,7,JAPAN ISHIYA White Chocolate Cookies 27pc,,Japan,Japan,ISHIYA SEIKA
Cookies 6pc,https://www.yamibuy.com/en/p/tulip-rose-cookies-6pc/3016068661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TULIP ROSE,,5,Cookies 6pc,,Japan,Japan,TULIP ROSE
Crispy Rice Filled Chocolate Chip Cookies,https://www.yamibuy.com/en/p/crispy-rice-filled-chocolate-chip-cookies/3016097761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BE & CHEERY,$9.90,,Crispy Rice Filled Chocolate Chip Cookies,,China,,BE & CHEERY
Salted Egg Cookies 100g,https://www.yamibuy.com/en/p/salted-egg-cookies-100g/3016098811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUANGFEIHONG,,,Salted Egg Cookies 100g,,China,,HUANGFEIHONG
Butter Cookies Choco Lava 5x10g,https://www.yamibuy.com/en/p/butter-cookies-choco-lava-5x10g/3016098631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,Butter Cookies Choco Lava 5x10g,,Malaysia,,LAVA BITES
Hawaii Cookies 90g,https://www.yamibuy.com/en/p/1/3016097011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Sable Michelle,,,Hawaii Cookies 90g,,Japan,Japan,Sable Michelle
Biscuit Cookies Macha Green Tea 5x10g,https://www.yamibuy.com/en/p/biscuit-cookies-macha-green-tea-5x10g/3016098651,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,Biscuit Cookies Macha Green Tea 5x10g,,Malaysia,,LAVA BITES
