Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category
Mixed Lotus Corn Congee 280g,YINLU,87,2.39,4.8,Mainland China,Yami,Dessert
Babao Rice Honey Dates Flavor 350g,QINYIWAN,56,3.99,4.9,Mainland China,Yami,Dessert
BZS Coconut Juice with Multi Grain 200g  EXP:06/01/2021,BAOZHISU,73,3.69,4.8,Mainland China,Yami,Dessert
BZS Red Bean Lotus and Lily Dessert 200g,BAOZHISU,57,3.39,4.5,Mainland China,Yami,Dessert
Grass Jelly 223g,YOUHUALIANGCAO,11,4.59,4.7,Mainland China,Yami,Dessert
Apple and Pear Tremella Soup 52g,BUYDEEM,4,4.99,4.2,Mainland China,Yami,Dessert
Babao Rice Proso Millet & Purple Yam Flavor 350g,QINYIWAN,39,3.49,4.5,Mainland China,Yami,Dessert
Sweet Precook Corn 260g,QIANBAIWEI,27,1.59,4.7,Mainland China,Yami,Dessert
Fine Stewed Beef Congee 38g,HAIFUSHENG,4,1.99,5,Mainland China,Yami,Dessert
Boiled Lettuce Stem 300g,SPRING FARM,13,4.99,4.5,Mainland China,Yami,Dessert
WUGUMOFANG Almond Red Coix Powder 600g,WUGU MOFANG,8,22.99,4,Mainland China,Yami,Dessert
Hong Kong Olive Vegetable 450g,PENGSHENG,8,3.99,4.9,Mainland China,Yami,Dessert
Rice Cake 240g,JIAXIAN,19,1.99,4.5,Mainland China,Yami,Dessert
Crispy Cow Pea,WEIJUTE,12,1.39,4.9,Mainland China,Yami,Dessert
Wonton Spicy Pork bone Flavor 68g,gudasao,4,4.99,4.8,Mainland China,Yami,Dessert
Wheat Core Chicken Congee 38g,HAIFUSHENG,1,1.99,5,Mainland China,Yami,Dessert
Coconut wheat chia seed Oatmeal 2 bags,BUYDEEM,7,3.5,5,Mainland China,Yami,Dessert
HEALTHY RED BEANS AND BARLEY PORRIDGE 200g,BAOZHISU,5,3.59,4.2,Mainland China,Yami,Dessert
Green bean soup 370g,YINLU,12,2.39,4.5,Mainland China,Yami,Dessert
Black Goji Grain Meal Powder 10 bags,BUYDEEM,3,11.99,4.3,Mainland China,Yami,Dessert
【Frozen】PMO Spicy Topokki,PMO,1,6.99,5,Korea,Yami,Dessert
HEALTHY BLACK SESAME PORRIDGE 200g,BAOZHISU,4,3.59,4,Mainland China,Yami,Dessert
Mixed Barley Red Bean Congee 280g,YINLU,59,2.39,4.8,Mainland China,Yami,Dessert
Sea Food congee with Quinoa 2 bags,BUYDEEM,1,6.59,5,Mainland China,Yami,Dessert
Fruit Cocktail In Syrup  565g,KHAMPHOUK,3,1.89,3.7,Thailand,Yami,Dessert
TONGFU Longan Lotus Seed Porridge With Brown Suger 430g,TONGFU PORRIDGE,4,2.19,5,Mainland China,Yami,Dessert
Spicy Termitomyces 100g,ZHENLEYI,2,3.19,4,Mainland China,Yami,Dessert
WUFANGZHA Glutinous Porridge   3 flavors 6 cups in each pack,wufangzhai,39,23.99,4.7,Mainland China,Yami,Dessert
Mung Bean Adlay Dessert Soup 340g,AGV,1,1.69,5,Taiwan,Yami,Dessert
Brown Rice Porridge with Taro & Sakura Shrimps 6pcs,HEALTH STYLE,6,7.89,2.5,Taiwan,Yami,Dessert
Mixed Congee in Syrup 380g,WUCHUNG,52,1.49,4.5,Taiwan,Yami,Dessert
Cold Rice Jelly(brown sugar flavor) 240g,OTHER BRANDS,40,1.69,4.5,Unclear,Yami,Dessert
Cooked Marinated Egg 6pc,LAM SHENG KEE,52,3.99,3.9,Taiwan,Yami,Dessert
Crisp Bamboo Shoots with Picked Cabbage 280g,NEW HEALTH,20,3.99,4.2,Mainland China,Yami,Dessert
ONETENG Freeze Dried Fermented Rice Papaya White Fungus Soup 90g,SUNGIVEN FOODS,16,6.49,4.6,Mainland China,Yami,Dessert
Peach Gum Gleditsia Sinensis Soup Natural Flavor 200g,CHAOZHOULANG,117,3.69,4.8,Mainland China,Yami,Dessert
INSTANT DESSERT COCONUT MILK TARO & BLACK RICE PASTE 225g,BAOZHISU,6,3.99,4.2,Mainland China,Yami,Dessert
SHUANG QIAN Longan And Lotus Seed Mixed Congee 360g,COINS,28,1.79,4.7,Mainland China,Yami,Dessert
Grandma Sweet Canned Poplar Honeydew 300g,THREE SQUIRRELS,32,5.99,3.9,Mainland China,Yami,Dessert
Glutinous rice cake 300g,YUMEI,31,2.99,4.5,Mainland China,Yami,Dessert
Black Sesame Instant,Healthy & Funny,2,27.99,5,Mainland China,Yami,Dessert
WANG Canned Kimchi 160g,WANG FOOD,38,2.29,3.9,Korea,Yami,Dessert
Cooked Marinated Tea Egg 6pcs,LAM SHENG KEE,40,3.99,4,Taiwan,Yami,Dessert
Wonton Shrimp Flavor 68g,gudasao,1,4.99,5,Mainland China,Yami,Dessert
Black Tapioca Pearl 250g X CHA TRA MUE Thai Tea Mix Powder 400g,WuFuYuan,9,6.99,5,Taiwan,Yami,Dessert
Traditional Pearl Sago In Syrup Neo Neo Pearls 260g,AGV,23,1.59,3.7,Taiwan,Yami,Dessert
Red Bean Dessert 250g,SHUNNAN,0,3.69,0,Mainland China,Yami,Dessert
PENGUIN Yellow Peach In Can 400g,PENGUIN'S,2,2.99,5,Japan,Yami,Dessert
Mangosteen In Syrup 567g,KHAMPHOUK,11,3.39,4.7,Thailand,Yami,Dessert
LULU Pickled Cabbage 500g,LULUFOOD,6,2.29,4.7,Mainland China,Yami,Dessert
Sticky Rice Sweet Flavor 538g,NANGUO,11,9.59,4.1,Mainland China,Yami,Dessert
PENGUIN Yellow Peach Slices 400g,PENGUIN'S,8,2.99,4.8,Japan,Yami,Dessert
Black Sesame Paste with Nuts 215g,YOUHUALIANGCAO,2,4.59,5,Mainland China,Yami,Dessert
Instant Tofu Jelly 45g,BESTORE,0,1.99,0,Mainland China,Yami,Dessert
MANGO PULP WITH SWEETENED SAGO CREAM 200g,BAOZHISU,10,2.99,3.1,Mainland China,Yami,Dessert
Chinese Mixed Porridge 310ml,VE WONG,8,1.19,4,Taiwan,Yami,Dessert
Pickled Pepper Flavor Bamboo Shoot 188g,BESTORE,1,5.09,5,Mainland China,Yami,Dessert
Rice Porridge 300g,TOTOLE,103,1.49,5,Mainland China,Yami,Dessert
Flavored Preserved Mushrooms Spicy Flavor 210g,DANSHAN,4,4.99,5,Mainland China,Yami,Dessert
Pickled Cowpea 500g,Hopen,4,2.49,3.5,Mainland China,Yami,Dessert
Tropical Classic Tapioca Pearl Pudding with Red Bean 230g,TAS,3,2.89,5,Mainland China,Yami,Dessert
Purple Potato Instant Oatmeal (Powder) 500g,Healthy & Funny,51,24.99,4.6,Mainland China,Yami,Dessert
TONGFU Lotus Seed Corn Porridge 280g,TONGFU PORRIDGE,4,1.99,5,Mainland China,Yami,Dessert
WFZ Brown Sugar Rice Porridge 350g,wufangzhai,1,2.29,5,Mainland China,Yami,Dessert
Brown Rice Porridge with Assorted Vegetables 6pcs,HEALTH STYLE,4,7.89,2,Taiwan,Yami,Dessert
Black Rice Porridge With Sugar 300g,TOTOLE,94,1.99,4.9,Mainland China,Yami,Dessert
WUGUMOFANG Nutritional Black Sesame Chinese Yam Oatmeal Yi Yuan Ba Zhen Powder 448g,WUGU MOFANG,36,18.99,4.7,Mainland China,Yami,Dessert
BZS BK Sesame and Walnut Dessert  200g,BAOZHISU,55,3.69,4.4,Mainland China,Yami,Dessert
Coconut Taro Sweet soup 128g,BUYDEEM,8,5.13,4.8,Mainland China,Yami,Dessert
Sweet Precook Corn 260g,QIANBAIWEI,35,1.59,4.9,Mainland China,Yami,Dessert
Mixed Rice Congee 340g,CHINCHIN,50,1.29,4.5,Taiwan,Yami,Dessert
BZS White Fungus and Lotus Dessert 200g,BAOZHISU,33,3.39,4.5,Mainland China,Yami,Dessert
"Mixed Congee Brown Sugar, 6Pcs",TAISUN,10,6.59,4.9,Taiwan,Yami,Dessert
Glutinous rice cake 300g,YUMEI,32,2.79,4.6,Mainland China,Yami,Dessert
Grandma Sweet Yogurt Yellow Peach Sago 300g,THREE SQUIRRELS,17,5.99,4.4,Mainland China,Yami,Dessert
Spicy Mixed Vegetable,WEIJUTE,12,1.39,4.8,Mainland China,Yami,Dessert
Tropical Classic Tapioca Pearl Pudding with Taro 230g,TAS,3,2.89,4.7,Mainland China,Yami,Dessert
Fresh Dried White Fungus Flavor Soup 200g,XIDUODUO,7,5.79,4.7,Mainland China,Yami,Dessert
Wonton Original Pork Bone Flavor 68g,gudasao,4,4.99,4.2,Mainland China,Yami,Dessert
Pork Ribs and Mushroom Congee 38g,HAIFUSHENG,4,1.99,5,Mainland China,Yami,Dessert
MANGO WITH BLACK RICE DESSERT 220g,BAOZHISU,6,5.29,2.8,Mainland China,Yami,Dessert
Flammulina BBQ flavor 188g,BESTORE,11,5.09,4.8,Mainland China,Yami,Dessert
MANGO WITH BLACK RICE DESSERT 220g,BAOZHISU,6,5.29,2.8,Mainland China,Yami,Dessert
Flammulina BBQ flavor 188g,BESTORE,11,5.09,4.8,Mainland China,Yami,Dessert
Mashed Red Bean Paste 500g,IMURAYA,7,6.99,5,Japan,Yami,Dessert
ONETENG Freeze Dried Brown Sugar Longan Ginger White Fungus Soup 90g,SUNGIVEN FOODS,11,6.49,4.8,Mainland China,Yami,Dessert
Dried scallops Congree with Quinoa and Corn 2 bags,BUYDEEM,7,4.99,4.9,Mainland China,Yami,Dessert
Smooth Red Bean Paste 500g,IMURAYA,1,6.99,2,Japan,Yami,Dessert
TONGFU Red Bean And Black Rice Porridge With Brown Suger 430g,TONGFU PORRIDGE,8,2.19,4.9,Mainland China,Yami,Dessert
WUGUMOFANG Gift Set Red Bean Coix and Cereal Meal + Collagen Oatmeal 1000g,WUGU MOFANG,2,69.99,4,Mainland China,Yami,Dessert
Pickled peppers mushroom 50g,HEXIN,5,1.59,4.6,Mainland China,Yami,Dessert
Spicy wild Mushroom 16g*20,HEXIN,7,7.99,4.9,Mainland China,Yami,Dessert
Tropical Classic Tapioca Pearl Pudding with Corn 230g,TAS,4,2.89,5,Mainland China,Yami,Dessert
Shimmering Black Gold Herbal Grass Jelly Dessert 255g,OTHER BRANDS,2,2.29,5,Unclear,Yami,Dessert
Brown Rice Porridge with Bamboo Shoot 6pcs,HEALTH STYLE,11,7.89,2.5,Taiwan,Yami,Dessert
Instant Jellyfish Hot&Spicy Flavor 150g,ASIAN TASTE,3,2.49,4.7,Taiwan,Yami,Dessert
Instant Red Bean Porridge 300g,TONGFU PORRIDGE,2,1.49,3,Mainland China,Yami,Dessert
Purple Potato Purple Rice Congee 280g,YINLU,134,2.39,4.6,Mainland China,Yami,Dessert
Lychee Whole  567g,WONG PAI,4,3.49,4.8,Mainland China,Yami,Dessert
Ice Cake  188g,YUANXIAN,108,1.59,4.1,Mainland China,Yami,Dessert
YANGSHENG Preserved Duck Eggs 6pc,LAM SHENG KEE,84,3.79,4.5,Taiwan,Yami,Dessert
Red Bean and Lotus Seeds stew with Tangerine Peels 225g,YOUHUALIANGCAO,1,4.99,5,Mainland China,Yami,Dessert
Chinese Yam and Yamabushitake Cereal 600g,WUGU MOFANG,46,16.99,4.7,Mainland China,Yami,Dessert
Red Date Tremella Goji Sweet Soup128g 8 Packets,HAIFUSHENG,26,10.99,4.3,Mainland China,Yami,Dessert
OATMEAL WITH CHESTNUT 330g,TAISUN,12,1.49,4.2,Taiwan,Yami,Dessert
Yam Coix Seed and Gorgon Fruit Powder 600g,Healthy & Funny,27,29.99,4.6,Mainland China,Yami,Dessert
Black Rice Congee 320g,CHINCHIN,38,1.29,4.4,Taiwan,Yami,Dessert
Boiled Lotus Roots 300g,SPRING FARM,24,2.69,4.9,Mainland China,Yami,Dessert
Spicy Wakame 160g,BESTORE,23,3.29,4.2,Mainland China,Yami,Dessert
Sweet Precook Corn 260g,QIANBAIWEI,28,1.59,4.4,Mainland China,Yami,Dessert
Fish Flavor Pickles 306g,JI XIANG JU,25,3.99,4.8,Mainland China,Yami,Dessert
Fresh Waxberry Bottle 425g,LJPZ,6,2.19,4.5,Mainland China,Yami,Dessert
Canned Eight Treasure Porridge (Longan&Lothus Seed) 360g,YINLU,13,2.39,4.8,Mainland China,Yami,Dessert
Pickled Pepper and Seaweed 60g,WEIJUTE,29,0.59,4.6,Mainland China,Yami,Dessert
Dried Radish Leaves With Soybean Paste Rice Porridge 285g,OTTOGI,21,3.99,4.4,Korea,Yami,Dessert
Korean Kimchi Fried Kimchi 100g,CHUNYU PALACE,20,1.19,4.7,Mainland China,Yami,Dessert
Instant Herbal Cereal Original 6Pcs,JZJT,153,14.99,4.7,Mainland China,Yami,Dessert
Glutinous rice cake 300g,YUMEI,20,2.99,4.2,Mainland China,Yami,Dessert
