Product_Name,Brand,Option,Price,Reviews,Origin,Rate,Platform,Category
Taro Pastry set 2 boxes,TACHIA MASTER,No,0.00,0,Mainland China,0.0,Yami,Mochi
Taro Pastry 8 pc,TACHIA MASTER,No,0.00,1,Mainland China,4.0,Yami,Mochi
Apple Cake 450g 10pcs,SunnyHills,No,0.00,1,Taiwan,5.0,Yami,Mochi
Taiwan Golden Prize-Pineapple Shortcake 168g 4pcs,Kuo Yuan Ye,No,0.00,1,Taiwan,3.0,Yami,Mochi
Frozen Breaded Lotus Roots Chips  JNK 300g,Taste of Mainland China,No,6.99,0,Mainland China,0.0,Yami,Mochi
SHIGA Sakura Chinese Cakes 5pc,Kanou,13 Options,0.00,2,Japan,4.0,Yami,Mochi
SHIGA Sakura Yokan 1pc,Kanou,13 Options,0.00,2,Japan,3.0,Yami,Mochi
Taiwan Chocolate Pinapple Cake 180g 9pcs,CHING TSE,No,0.00,1,Taiwan,3.0,Yami,Mochi
Shortbread 192g 4pcs,Kuo Yuan Ye,No,0.00,11,Taiwan,4.6,Yami,Mochi
VIGORKOBO Indigenous Pineapple Cake 312g 6pcs,VIGOR KOBO,No,0.00,0,Taiwan,0.0,Yami,Mochi
VIGORKOBO Pineapple Cake 450g 10pcs,VIGOR KOBO,No,0.00,0,Taiwan,0.0,Yami,Mochi
Taiwan Pineapple Cake 150g 6pcs,CHING TSE,No,0.00,2,Taiwan,3.5,Yami,Mochi
Handmade Suger Glutoous Rice Cake 300g,Taste of Mainland China,No,5.49,0,Mainland China,0.0,Yami,Mochi
Taiwan Golden Prize-Pineapple Shortcake 10pcs,Kuo Yuan Ye,No,0.00,2,Taiwan,4.0,Yami,Mochi
Sakura Gift Box C,Kanou,13 Options,0.00,0,Japan,0.0,Yami,Mochi
Pineapple Cake 125g 5pcs,LIEN HAW FOODS,No,0.00,0,Taiwan,0.0,Yami,Mochi
Taitung Qi Ma Su -Green Onion & Garlic Flavor 200g,CHING TSE,No,0.00,1,Taiwan,5.0,Yami,Mochi
