Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category
Seafood Instant Jinpian Fish Spicy Flavor 80g,BESTORE,6.99,1,Unclear,5.0,Yami,Seaweed
Shrimp Fish Cake Spicy Flavor 92g,BESTORE,7.99,0,Unclear,0.0,Yami,Seaweed
LYFEN Fish Seed Egg 108g,yifen,6.99,1,Unclear,5.0,Yami,Seaweed
Fortune Pack with Fish Roe 145g,Taste of Mainland China,6.99,0,Unclear,0.0,Yami,Seaweed
Kung Fu Snakehead Fish fillet 250g,Taste of Mainland China,5.50,0,Unclear,0.0,Yami,Seaweed
JACK& KING'S Spicy Frog Legs 400g,Taste of Mainland China,11.99,1,Unclear,5.0,Yami,Seaweed
President Braised Instant Abalone Canned K5H,XLSEAFOOD,58.99,1,United States,4.0,Yami,Seaweed
[Mainland China Direct Mail] BE&CHEERY-Shredded Crab Flavor Spicy Stick Crab Stick and Crab Meat Stick Seafood Snacks 120g,BE & CHEERY,8.90,0,Unclear,0.0,Yami,Seaweed
Sun Dried Wild Caught Canada Newfoundland Orange-foot Sea Cucumber Gonad Flower AAA Grade  8oz 227g,XLSEAFOOD,39.99,0,Canada,0.0,Yami,Seaweed
Frozen Squid Mix 285g,Taste of Mainland China,4.99,0,Unclear,0.0,Yami,Seaweed
Squid Barbecue Flavor 90g,BESTORE,13.99,1,Unclear,3.0,Yami,Seaweed
JACK& KING'S Frozen Garlic Abalone with Vermicelli 200g,Taste of Mainland China,12.99,0,Mainland China,0.0,Yami,Seaweed
President Braised Instant Abalone Canned K10H,XLSEAFOOD,49.99,1,United States,5.0,Yami,Seaweed
Scallop Spicy Taste 45g,BESTORE,12.99,3,Unclear,3.3,Yami,Seaweed
Sesame Nori  35g,BESTORE,5.99,3,Unclear,5.0,Yami,Seaweed
JACK& KING'S Pickled Spicy Fish Head (BAG) 635g,Taste of Mainland China,14.90,12,Mainland China,4.8,Yami,Seaweed
Barbecue Small Yellow Croaker 100g,BESTORE,7.99,1,Unclear,1.0,Yami,Seaweed
Crispy yellow croaker spicy flavor 100g*1,BE & CHEERY,11.90,0,Unclear,0.0,Yami,Seaweed
Japan Hokkaido Sun Dried AA Conpoy P400,XLSEAFOOD,49.99,1,Japan,5.0,Yami,Seaweed
Deep Sea Fish Intestine 108g,BESTORE,6.99,0,Unclear,0.0,Yami,Seaweed
Taste of Mainland China Fishcurd Original 200g,Taste of Mainland China,9.99,0,Unclear,0.0,Yami,Seaweed
Catfish Fillet with Pickled Mustard Green 350g,Taste of Mainland China,8.99,4,Unclear,3.8,Yami,Seaweed
Tilapia Fillet Sliced  340g,Taste of Mainland China,9.99,0,Unclear,0.0,Yami,Seaweed
Fish Stick Crab Flavor 90g,BESTORE,6.99,3,Unclear,5.0,Yami,Seaweed
BBQ Squid Cube(Skin on) 600g,Taste of Mainland China,7.99,0,Unclear,0.0,Yami,Seaweed
Captain Jack Greenland Hailbut Steaks 8/11oz,Captain Jack,12.49,0,Unclear,0.0,Yami,Seaweed
TOFU POCKET WITH SHRIMP 150g,Taste of Mainland China,6.99,0,Unclear,0.0,Yami,Seaweed
Tomato Flavor Fishcurd 450g,Taste of Mainland China,9.99,1,Unclear,5.0,Yami,Seaweed
Taste of Mainland China Fishcurd Original 200g,Taste of Mainland China,9.99,0,Unclear,0.0,Yami,Seaweed
XLSEAFOOD Sun Dried South Africa Sea Conch meat AAAA Grade 227g,XLSEAFOOD,39.99,0,Unclear,0.0,Yami,Seaweed
JACK& KING'S Tilapia Fillet with Pickled Veg & Chili 500g,Taste of Mainland China,10.00,1,Unclear,5.0,Yami,Seaweed
JACK&KING Crawfish Garlic 908g,Jack&King’s Food,12.99,4,Mainland China,4.0,Yami,Seaweed
[Mainland China Direct Mail] Baicao Flavor-Shredded Squid Strips Seafood Snacks 80g,BE & CHEERY,11.90,0,Unclear,0.0,Yami,Seaweed
JACK& KING'S Tilapia Fillets Sliced  340g,Taste of Mainland China,9.99,0,Mainland China,0.0,Yami,Seaweed
Cod Intestines Thick and Cheese Flavored Cod Intestines 90g*1,BE & CHEERY,12.90,0,Unclear,0.0,Yami,Seaweed
Frozen Squid Cube (skin on) 285g,Taste of Mainland China,4.49,0,Unclear,0.0,Yami,Seaweed
Captain Jack Frozen Ribbon Fish Roll 6/8pcs 250g,Captain Jack,9.99,0,Unclear,0.0,Yami,Seaweed
TOFU POCKT WITH LOBSTER 145g,Taste of Mainland China,6.99,0,Unclear,0.0,Yami,Seaweed
JACK& KING'S Cooked Clam,Taste of Mainland China,5.99,1,Mainland China,5.0,Yami,Seaweed
Frozen Cooked Abalone Meat 6pcs 100g,Taste of Mainland China,10.49,0,Unclear,0.0,Yami,Seaweed
Spicy Hot Squid 400g,Taste of Mainland China,9.49,2,Unclear,5.0,Yami,Seaweed
Pickled Fish Curd 450g,Taste of Mainland China,9.99,1,Unclear,5.0,Yami,Seaweed
Taste of Mainland China Spicy Cooked Crawfish Tail 250g,Taste of Mainland China,12.99,0,Unclear,0.0,Yami,Seaweed
Cooked Crawfish Tail With Spicy Sauce Bag  18.6oz,Taste of Mainland China,10.99,3,Unclear,5.0,Yami,Seaweed
Captain Jack Greenland Halibut Head 500-700g,Captain Jack,11.99,0,Unclear,0.0,Yami,Seaweed
XLSeafood Malaysia Nature Honey Rock Sugar 227g,XLSEAFOOD,29.99,0,Malaysia,0.0,Yami,Seaweed
Spicy Louisiana Wholeboiled Crawfish 907g,Taste of Mainland China,12.99,1,Unclear,3.0,Yami,Seaweed
Taste of Mainland China Spicy Cooked Clam,Jack&King’s Food,7.99,1,Unclear,0.0,Yami,Seaweed
JACK& KING'S  Spicy crawfish tail Eight Boxes,Jack&King’s Food,95.99,0,Mainland China,0.0,Yami,Seaweed
JACK& KING'S Garlic Cooked Crawfish Tail,Jack&King’s Food,11.99,2,Mainland China,4.0,Yami,Seaweed
Fresh Pepper Squid 250g,Taste of Mainland China,8.99,0,Unclear,0.0,Yami,Seaweed
BBQ Squid Wing Carving 500g,Taste of Mainland China,13.49,0,Unclear,0.0,Yami,Seaweed
JACK& KING'S Spicy Squid 280g,Taste of Mainland China,9.99,1,Mainland China,4.0,Yami,Seaweed
Tempura Seaweed BBQ Flavor 40g,Four Seas,2.89,32,Mainland China,4.4,Yami,Seaweed
YES SIR Crispy dried Crab-Seaweed wasabi 25g,XIAXIANSHENG,3.99,22,Unclear,4.7,Yami,Seaweed
Roasted Seaweed Snack Green Tea Flavor 12pc 60g,JAYONE,5.99,12,Unclear,4.8,Yami,Seaweed
Seaweed Tempura Snack Sea Salt Flavor 30g,SEA'S GIFT,3.99,1,Korea,5.0,Yami,Seaweed
Tempura Seaweed Tomato Flavor 40g,Four Seas,2.89,35,Mainland China,3.9,Yami,Seaweed
